video_id;views;likes;dislikes;comments
5fwm-A4xckQ;1379;130;6;14
QDFfPAaWTV4;6669;370;7;72
5ZahqIDPtj8;5082;154;5;19
pMJ0a8TaOzE;4069;147;4;27
QgRvH63FqaU;29710;1324;20;103
QYTjDsUQSB0;5333;202;10;74
equewwgv550;7497;340;17;55
KZeTQvTIST4;8455;315;2;79
dZXXWOgUlP0;3255;149;3;26
8hx_CVq3vEg;6322;203;3;64
dJzVLCh7rnk;15501;306;7;73
AvKrOa0ltxw;2977;87;2;26
hGlUVl7qhYs;15245;366;11;93
PTQOxtsIOGw;12162;300;21;60
f1qHeW-wgKU;6425;179;8;25
m7uDJShYyt4;7438;286;12;80
0IQxwquZ1z8;12542;328;9;120
wNq_i67M2d8;8926;290;5;64
R-7Ue5171VQ;3557;110;3;17
qz9vH0DeeYQ;21416;374;9;139
7-WcffbJk4k;10217;220;8;40
KCvSG2F46Y4;17074;380;10;52
pkrMzCGL4h4;7109;147;4;25
_X1vkkjPfIw;4103;134;2;55
TeOxlp0wpr0;21091;372;9;82
1aZVCuS7WLM;28170;693;14;177
ySKd4_Fhfo4;14728;547;12;95
7IuAKaKX6ow;9832;351;7;70
JzhhS0I5O0k;7382;247;7;36
JkanQkHkong;11551;338;10;93
uToWtYyMg1M;18817;527;13;71
WHa1EELqPqs;16655;490;8;120
r866PY3E5p4;12391;290;4;33
KyBHLE7LXKE;23993;903;15;160
J1A3ZRQcgKg;12293;487;10;91
E3KSEJMmbcI;10712;324;5;82
4qaxMOL3qn8;6185;268;8;45
bEF1KRrygS4;81730;1316;54;360
y3UQtiJ1jTU;22885;577;12;239
kuAX283wb_E;23127;846;8;178
-gTkxpx8sok;38500;1510;19;188
fe5JRVmpZWw;27995;595;13;95
QfuT1JtAKtQ;56166;1887;34;213
CVgPvQ1yxOA;69809;2344;25;152
Vug_rPfBUF0;11161;303;17;46
hRTAyAmuo6I;10088;268;12;45
fKoz-ERraNk;5370;142;6;21
-62No0ZxYdo;45959;912;41;117
rGosRtdmg_E;3604;118;11;22
Tkj7JKzhnv4;13788;368;9;106
NivC1gu-Wi8;9583;356;5;48
-_sRqyAV21g;16821;517;13;147
fR2ZdbX7otA;15902;474;13;101
8_mMgloH06Y;26067;743;25;152
9y1C4OA_5VI;12849;354;14;106
MqDdjuTZgZs;48203;479;59;124
XfEOrjWw8Vk;7541;301;4;43
ScyCWqwK2PQ;2777;95;3;27
zjbRIzeGBz8;22504;781;17;223
ymraqs1B_Nw;11707;448;10;51
XfVvds5-TWs;16451;333;11;111
_MqhXMG5t_Y;41413;1176;28;98
ieNYrZkiC9Q;26332;616;26;137
sEKT-VpShB8;16295;264;15;39
lZDYNum43CI;72990;762;39;87
o9S-1p1GZzs;9250;367;6;107
vFP9RbUhWcI;51625;472;32;48
RVOugU-VBWM;40192;723;17;83
pz4Ue39xKOw;17763;417;17;83
OnjFRhzhvDk;24013;452;17;69
iA27B9BmhlQ;8466;313;3;61
jltsAQQQztc;14539;252;8;68
McjzpmbVsNI;9723;227;15;38
7Kg62xryma0;18783;489;7;83
40_abdTaZTw;17325;442;12;60
jBNHj9UeN7A;69557;899;36;151
gZwiZWy71XA;9945;268;11;55
JiiixEex-z0;36534;693;25;140
0ecObmzXrHE;46907;1031;54;260
7kmNfzzgVvs;45955;598;22;103
623Z-KIRyuY;19110;386;14;60
E6qtmUH7CC4;42116;1070;18;149
J4OiZZtNkik;47384;421;11;95
4qXN_m0s5j0;14438;207;4;42
s5snqe5KoaE;64821;607;35;67
YCkWZ0rmpxE;7925;208;11;29
Lx1Hayr-s8I;33884;718;18;120
hSluv7Goch8;23176;793;27;165
8SCxvAlxP7s;11982;598;16;52
t-xZRZx63sw;78220;2066;41;176
MuFcQptJaaM;43554;670;17;103
XUWQsiaGpvM;23787;550;9;69
1HeoVdevH4U;35063;627;31;67
Y-54MhbXVoE;22929;527;15;76
_H8PA7ydStc;10441;308;7;38
D7xiUDg3eTI;15697;436;15;80
Sll-eAI99og;27415;681;27;113
VwpvlYvl7kk;46559;881;27;120
875NpMnevak;36074;638;18;75
TcvGrs3auWY;35206;1289;39;65
wsubri1ow_c;9488;280;12;44
1naEPL_0xf4;29426;652;27;114
rdhWL2WD-4Q;20586;959;16;90
_wE3qHo7QgI;37795;1202;25;92
1MFX0fYZquI;41883;698;35;66
nOCbMAGBRvI;28189;528;24;75
eYG8v9dz7Xg;128711;2604;74;253
7HfHCeuj6fs;97971;1889;73;138
tfrcUqbm3mQ;35103;879;20;108
W7Brz-BxvYI;130654;2694;109;191
bopN0IDT6_8;194065;4025;167;342
YEKcp8sKsQY;28466;1105;54;135
E-jeUnTg3Es;35507;1143;36;116
2lxvq3O7h-o;44836;1217;27;144
DgFPjU6ZzT4;87409;1618;44;161
OOaPSYTl4O8;135041;2520;68;272
tiy_ccjdyJI;25584;885;17;94
xxfcC177DI4;31195;1287;30;95
oXY2fV_B1Ac;46777;1316;32;123
0WS-_olBHek;14783;493;10;93
5X_sk_1hmC8;71308;1592;49;146
185O2XH9JOY;166674;2499;86;231
wfeIdpimBcQ;73157;1663;76;183
AEyPT-b3JsI;27806;804;23;95
SmpU344Ozpo;32690;891;19;124
Mv5rQcQekzM;9980;373;9;75
OJ_1Y6oCo4U;17383;521;7;83
w-W0Kctuc-k;35118;1021;21;121
7dx85aZ7Xdo;140147;1438;123;242
YUTFNCrdcUc;27415;659;7;84
QpHF7vYiC5Y;52557;1174;24;149
Ohaq0uJhfv4;40187;1008;21;141
QGmYhErI9vQ;114294;1109;97;216
Y4MKJBQGIAw;135828;2152;83;212
BFyvh2TUqvk;15304;269;20;75
Z-u8U4_otl4;12302;330;9;85
pwbEEn8zK1U;54330;906;18;132
EnrFltVOF-Q;7900;220;6;59
Zkb8xhWqnQ4;9059;237;7;81
CHxsxNTYG8U;4818;146;4;21
aq_5qRW761c;7018;297;0;72
qA5M_khjJRU;5332;152;9;27
WvcPctJj9B4;55222;1158;54;252
u7nX6_BI2tw;19751;520;16;83
RNpXhdppYW8;39213;509;23;63
QpCr5APPZB4;37193;725;20;117
hqNNEUbzhwc;5495;164;5;47
95ZVDLRT4II;18204;484;10;94
hFm7VshJZxM;8841;221;9;49
PwrpIzZyGsE;56350;740;40;87
JlTSUfyd7rI;6891;173;11;44
8FFx36VPoFA;7752;205;5;42
0-ZCc21ot_M;33338;795;33;135
JI3b-zXf7Ds;504286;3264;243;175
nUS5P-oTUc4;2197;69;2;17
ts96R_waqFY;32141;364;17;33
tDcVcslUnx8;14911;309;14;59
igR_UzaUlHw;27716;271;15;26
QwzhM8mSLto;15147;232;11;36
2NhZyfcsKks;10492;314;6;47
HagHAcE3VWc;2610;98;3;20
GaHe7jIzqy4;10450;275;10;46
sVl7n-isfjw;4087;141;3;46
IPc9L3lJ6Ns;28560;371;5;38
bebeP6X_htQ;5160;209;0;52
STdQCfiYixs;6933;191;5;43
dOa5VrHQz8g;7681;173;2;32
9vN9rRg3aBk;8442;293;6;53
o1J0vl9HliI;21213;447;8;43
G2i9r2OtGoQ;26320;557;19;102
8X1QKE4w8uA;15694;308;13;93
qQ--JPr1JyA;2172084;15360;1178;895
1W0dPu1gjnA;34251;633;15;65
tn8EiIocUI4;8484;244;8;41
VkLmpWRA2mg;30279;797;11;95
M64iBw-VA5o;16619;378;10;69
7cwAgRJPBxA;21872;368;6;69
Z4IiOQ1ytEY;16546;530;7;138
Mp9jcx1XonI;9393;244;10;31
eQC6LNzD4mw;25921;562;18;142
nHqEG-_O7bs;8741;319;9;70
ylepXks8Ti8;200196;1614;107;210
n3LQXLUW694;23270;346;16;59
OnJOkrHKXcY;123066;1482;74;194
e57NB_fNqUs;70855;955;40;140
J0zYPwD-TVg;31025;480;13;54
jImjVV_1rrc;15132;397;5;74
GF7CndRaMgo;3357;149;7;30
PiLlbTyffzU;24477;564;9;113
lY60ILtQ2pY;30512;773;14;98
sJLXtbreyX0;11950;371;1;55
Vr_t15m4tu0;9203;237;4;40
PbEVgkFsWOg;21808;363;11;74
Z4g7cJcO_po;9120;309;5;50
BWZ5qqWcKKI;8156;330;3;101
PHwlmlKlkC0;16591;257;10;39
5jCF7VsM9fg;3429;108;4;22
Yvu9QBJio5w;22459;442;12;79
FxURRUI-rGQ;5080;180;6;50
3r3lWi_T45g;11543;345;2;67
Lu28RFh4CQY;84855;876;24;121
